x,y,t
0.147957617,-0.0809964055,3
0.134211913,-0.0599094177,3
0.13115693,-0.0503235083,3
0.128101947,-0.0388209921,3
0.123520046,-0.0254018692,3
0.119702176,-0.0148569375,3
0.111302405,0.00143781452,3
0.103665521,0.00527246585,3
0.097556701,0.0186915888,3
0.0914467354,0.0273184759,3
0.0868648339,0.0340287563,3
0.0815200458,0.0455312725,3
0.0738831615,0.052240115,3
0.0708281787,0.0637426312,3
0.0654833906,0.0762041697,3
0.0555555556,0.0877066858,3
0.0456277205,0.0972925953,3
0.041045819,0.106877067,3
0.0364639175,0.120297628,3
0.0303550974,0.127965492,3
0.0242462772,0.140427031,3
0.0189003436,0.152887132,3
0.00973654066,0.15863839,3
0.0043906071,0.164389648,3
-0.000191294387,0.171099928,3
-0.00782703322,0.188353702,3
-0.0116460481,0.197939612,3
-0.0177548683,0.205607477,3
-0.0246277205,0.215193386,3
-0.0299736541,0.221902229,3
-0.0376093929,0.234363767,3
-0.0452462772,0.242990654,3
-0.0589919817,0.252576564,3
-0.0635738832,0.253534148,3
-0.0696827033,0.267912293,3
-0.0735017182,0.278457225,3
-0.075792669,0.288041697,3
-0.0796105384,0.303378864,3
-0.0796105384,0.312964774,3
-0.0841924399,0.321591661,3
-0.0857193585,0.337886413,3
-0.0872474227,0.350347951,3
-0.09030126,0.361850467,3
-0.0887743414,0.37526959,3
-0.09030126,0.387731129,3
-0.0933562428,0.391564342,3
-0.0956471936,0.404984903,3
-0.100993127,0.412652768,3
-0.099465063,0.419363048,3
-0.099465063,0.427030913,3
-0.0864833906,0.434698778,3
-0.0803745704,0.437574407,3
-0.0727376861,0.440450036,3
-0.0620469645,0.443325665,3
-0.0567010309,0.446201294,3
-0.0498281787,0.446201294,3
-0.0406643757,0.442368081,3
-0.0315005727,0.432782171,3
-0.0208098511,0.430865564,3
-0.0116460481,0.434698778,3
-0.0040091638,0.4356578,3
0.00897250859,0.439492451,3
0.0196643757,0.441409058,3
0.0387548683,0.440450036,3
0.0479186712,0.436616822,3
0.0570824742,0.431823149,3
0.0647193585,0.424155284,3
0.0738831615,0.419363048,3
0.0815200458,0.416487419,3
0.0891557847,0.412652768,3
0.0960286369,0.411693746,3
0.108247423,0.40690151,3
0.124284078,0.405942487,3
0.133447881,0.398274623,3
0.150248568,0.394439971,3
0.159412371,0.387731129,3
0.171630011,0.377186197,3
0.184612829,0.369518332,3
0.193776632,0.364726096,3
0.202940435,0.358015816,3
0.212867125,0.349388929,3
0.224321879,0.339803019,3
0.238831615,0.331176132,3
0.24875945,0.321591661,3
